Username,Profile Pic URL,Image URL,Caption,Like Count,Taken At
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/383080692_1597006137493445_8326491420478584518_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDQ4eDEzMTIuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=105&_nc_ohc=ZKSyGOnHEpYAX-KehyS&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzIwMTM3OTM3ODk2MDE4OTE5OQ%3D%3D.2-ccb7-5&oh=00_AfAa6ycDX-KTXh3LDWC7Nra8gr08M99IaC5q1yaeuGGimQ&oe=656823A8&_nc_sid=10d13b,"Celebrating Connect by eating about 6,000 happy meals.",16403,1695854183
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"Brought my kids to Connect today. Asked what they thought, and the answer: ""Great. I ate popcorn, two mangoes, and three chocolate bars!"" 🍿😂",5749,1695850483
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"Priscilla and I are optimistic about AI helping scientists to cure, prevent or manage all diseases this century. We're starting a new project at CZI to build a virtual cell to predict how every cell in the human body will behave -- healthy or diseased. To do this, we're building one of the largest AI compute clusters in non-profit life sciences. We're hopeful this will help scientists make new discoveries and find new treatments.",11568,1695132005
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"Not sure if I think about the Roman Empire too much. I wonder what my daughters Maxima, August and Aurelia think.",13346,1695069353
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/377832959_633376995571887_9086173533611345944_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDI0eDc2OC5zZHIifQ&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=alzHSGO686IAX8mUUHY&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE5MjAyMDE0MTQxMDY2OTk3Ng%3D%3D.2-ccb7-5&oh=00_AfBlFSTSMp1w1gxXI0ENMyjoYw4C2Frt63UBeRfq14iHyg&oe=65670122&_nc_sid=10d13b,At Meta employee Q&A today we discussed the new products we're launching at Connect in a couple of weeks. Looking forward to sharing with all of you soon!,10958,1694738475
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/371971371_1018486522681620_3413188013430771938_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent.cdninstagram.com&_nc_cat=100&_nc_ohc=CAAypX8An38AX9kJcuc&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfBfCjsAumfKj-Ocgsor_8-sRuTrj-ymhDU-XwjDkIclyg&oe=656616ED&_nc_sid=10d13b,Get excited -- search is coming to Threads.,28432,1693482973
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,Rolling out to most English and Spanish speaking countries today. More to come soon.,5024,1694102435
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/369625623_1120237485616507_5440235822272541128_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4yMDgzeDE1NjMuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=yZrJsTIegE0AX_Q73dy&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE3NDk5NzI0NzA2NTU0NjMyMQ%3D%3D.2-ccb7-5&oh=00_AfDnbrxm3cxOQkqBlJkgns-DzbJcH-Bv-OIm83h_reUt2w&oe=6566EBB5&_nc_sid=10d13b,Actual footage of me building Threads for web. Rolling out over the next few days.,44208,1692709187
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/368680543_683991946912623_9195311522964220337_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi40MDAweDMwMDAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=qp674VmabxIAX8FgAVP&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE3MjkyMDMyMDY3MDU1NDA4MQ%3D%3D.2-ccb7-5&oh=00_AfDhepE1FHBkGkiHCf-nqIdk6Oz-hRS3Y2Jh29mv3nunkw&oe=6567C936&_nc_sid=10d13b,Our little girl is growing up and wake surfing without a rope 😭,22929,1692461598
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/367502596_648665097227649_2081738401934035908_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEzNTAuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=109&_nc_ohc=Q6MoUzhml9IAX-5cw8_&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE3MDAwMDYyNzEzNTUyNzk5NQ%3D%3D.2-ccb7-5&oh=00_AfCbBI-SqaxhNTRyv1Xlkx9PhgZZX4f7h4xOifv3WDuTlw&oe=65680C96&_nc_sid=10d13b,"Work hard, sleep hard 😴",18938,1692113544
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,Congrats to our team!,7731,1692041259
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"I think we can all agree Elon isn't serious and it's time to move on. I offered a real date. Dana White offered to make this a legit competition for charity. Elon won't confirm a date, then says he needs surgery, and now asks to do a practice round in my backyard instead. If Elon ever gets serious about a real date and official event, he knows how to reach me. Otherwise, time to move on. I'm going to focus on competing with people who take the sport seriously.",93977,1691943490
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/366416266_649349833801555_7326771065455353109_n.jpg?stp=cp6_dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi40MDMyeDMwMjQuc2RyIn0&_nc_ht=scontent.cdninstagram.com&_nc_cat=107&_nc_ohc=LilwBAGnRfsAX_fn5dS&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE2NzIwMzg2NzkwNTIzMzQzOQ%3D%3D.2-ccb7-5&oh=00_AfAUE61Lt7KuinH8YO2CFqA3CQuGNOITcePJOae0Z_UycQ&oe=656830ED&_nc_sid=10d13b,"Separately, here's a photo from today's Friday Morning Fights in my backyard octagon. Good times.",21706,1691780144
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"I love this sport and I've been ready to fight since the day Elon challenged me. If he ever agrees on an actual date, you'll hear it from me. Until then, please assume anything he says has not been agreed on.",35133,1691779970
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"Not holding my breath for Elon, but I'll share details on my next fight when I'm ready. When I compete, I want to do it in a way that puts a spotlight on the elite athletes at the top of the game. You do that by working with professional orgs like the UFC or ONE to pull this off well and create a great card.",7124,1691780027
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,"New updates to Threads this week:

🧵Directly share a post to your Instagram DMs
🧵Custom alt-text for photo/video
🧵New mention button to easily mention someone's account in your Thread",18851,1691593083
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/364991149_941020717000047_7068527151254177842_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjA2eDI5Mi5zZHIifQ&_nc_ht=scontent.cdninstagram.com&_nc_cat=103&_nc_ohc=b9NxhL94FwIAX_-0pRN&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE2MzYzMTE2NDI4MDMxMzczMA%3D%3D.2-ccb7-5&oh=00_AfAa-kAAFm_MUxDy53YfIHMXtcy7uZQw9IAP0Br0vdKS1w&oe=65672E4A&_nc_sid=10d13b,"I'm ready today. I suggested Aug 26 when he first challenged, but he hasn't confirmed. Not holding my breath.",45536,1691354245
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,,I love this sport and will continue competing with people who train no matter what happens here.,8087,1691354417
zuck,https://scontent.cdninstagram.com/v/t51.2885-19/357376107_1330597350674698_8884059223384672080_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V05YtMUQQIoAX9ttVuz&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfAWiBgJSGLMq56kyDV4_Yhc86FyNjXQcrE9HET8Ny9mpg&oe=6568BB80&_nc_sid=10d13b,https://scontent.cdninstagram.com/v/t51.2885-15/364956309_189370947480202_2178099435069885300_n.jpg?stp=dst-jpg_e35&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMjA4eDI5Mi5zZHIifQ&_nc_ht=scontent.cdninstagram.com&_nc_cat=110&_nc_ohc=V9lJDwFVex8AX9K_Zuh&edm=APs17CUBAAAA&ccb=7-5&ig_cache_key=MzE2MzYyOTU4NzIwNTQyNzc5NQ%3D%3D.2-ccb7-5&oh=00_AfC1DwCmU3GrWferzMNhfdooDz0ICSuwSpqM-6NHxOnDzA&oe=65670E49&_nc_sid=10d13b,Shouldn't we use a more reliable platform that can actually raise money for charity?,51121,1691354057
